TCGA-VQ-A94P TCGA-VQ-A94P TCGA-VQ-A94P
7.8563 0.1313 0.71315
4.6003 0.59775 0.88605
3.4551 0.31555 0.63495
6.923 0.1665 0.5232
3.8369 0.18265 0.8074
8.7002 0.5415 0.85885
1.5088 0.9236 0.9021
0.0 0.0946 0.305
5.9348 0.8799 0.9246
3.6795 0.8874 0.881
6.555 0.1284 0.6206
1.5088 0.0584 0.7131
4.1977 0.1272 0.4578
4.7061 0.7611 0.0558
11.9914 0.3984 0.6506
2.5358 0.6874 0.9023
5.2998 0.5883 0.8594
0.4533 0.04625 0.2737
5.6782 0.3287 0.04475
10.3982 0.17225 0.24625
7.2337 0.475 0.7711
0.7977 0.2938 0.7388
6.923 0.7731 0.7291
11.9305 0.69965 0.83365
7.7315 0.1591 0.65395
7.8881 0.03155 0.65075
11.4388 0.2366 0.7049
9.5394 0.76495 0.76665
3.5029 0.0354 0.5564
1.533 0.1459 0.69635
7.2737 0.4723 0.3248
6.9747 0.1661 0.826
8.6835 0.67075 0.5845
0.0 0.2437 0.0775
5.2998 0.2286 0.80305
3.9096 0.289 0.2547
0.0 0.77575 0.3581
4.413 0.0435 0.51
8.9714 0.2026 0.15175
5.0813 0.6135 0.77305
0.7977 0.66085 0.7272
0.0 0.75345 0.7556
0.7977 0.8316 0.8307
9.7556 0.85375 0.812
10.4483 0.037 0.85405
0.0 0.883 0.8385
7.3784 0.6541 0.91875
8.5675 0.04905 0.80615
8.2931 0.068 0.2042
10.019 0.16765 0.4907
4.1808 0.241 0.748
4.6221 0.27785 0.0829
1.0755 0.6044 0.73235
2.1118 0.8327 0.9031
0.0 0.7392 0.8958
1.983 0.5823 0.6673
10.608 0.0313 0.394
12.5248 0.3801 0.8026
0.0 0.3063 0.284
0.0 0.1408 0.127
2.9345 0.24725 0.35695
5.8357 0.1965 0.5464
5.0495 0.0854 0.6205
5.1874 0.0751 0.1843
8.8692 0.2351 0.2102
6.8919 0.5787 0.864
8.5463 0.7074 0.618
0.7977 0.8733 0.4227
7.7214 0.8158 0.6839
5.8169 0.1781 0.69815
8.6718 0.26355 0.8124
7.5186 0.0423 0.65255
11.4173 0.1899 0.46795
8.2743 0.6987 0.8259
8.9735 0.129 0.7705
0.0 0.8451 0.7922
7.3328 0.6818 0.7207
3.6795 0.1022 0.8975
5.1874 0.5951 0.7061
0.0 0.80125 0.224
2.6248 0.18805 0.60665
1.3084 0.2107 0.2532
10.4773 0.1848 0.51065
4.413 0.64945 0.6202
6.616 0.7371 0.8249
5.2306 0.8631 0.5168
1.0755 0.85825 0.78375
6.7004 0.3052 0.6937
7.6811 0.11015 0.1764
0.4533 0.9112 0.782
8.099 0.6286 0.7441
3.4057 0.5006 0.7732
